curbweight,highwaympg,citympg,carwidth,horsepower,enginesize,carlength,peakrpm,wheelbase,boreratio,price
2818,24.0,19.0,66.3,145.0,156.0,173.2,5000.0,95.9,3.59,12764.0
2778,27.0,19.0,68.3,143.0,151.0,168.9,5500.0,94.5,3.94,22018.0
2756,25.0,17.0,65.0,160.0,181.0,168.9,5780.0,93.7,3.74,22563.0
2756,25.0,17.0,65.0,160.0,181.0,168.9,5780.0,93.7,3.74,22563.0
2800,25.0,17.0,65.0,160.0,181.0,168.9,5780.0,93.7,3.74,22563.0
3366,28.0,17.0,68.64,160.0,181.0,175.7,5750.0,98.4,3.94,22563.0
2579,31.0,23.0,66.5,90.0,132.0,181.5,5100.0,96.1,3.46,9295.0
2460,31.0,23.0,66.6,90.0,132.0,176.8,5100.0,96.1,3.46,9895.0
2658,28.0,21.0,66.5,110.0,121.0,186.6,5250.0,99.1,3.54,11850.0
2695,28.0,21.0,66.5,110.0,121.0,186.6,5250.0,99.1,3.54,12170.0
2707,28.0,21.0,66.5,110.0,121.0,186.6,5250.0,99.1,2.54,15040.0
2758,28.0,21.0,66.5,110.0,121.0,186.6,5250.0,99.1,3.54,15510.0
2808,26.0,19.0,66.5,160.0,121.0,186.6,5500.0,99.1,3.54,18150.0
2847,26.0,19.0,66.5,160.0,121.0,186.6,5500.0,99.1,3.54,18620.0
2050,36.0,31.0,63.8,69.0,97.0,157.3,4900.0,93.7,3.62,6657.0
2120,31.0,26.0,63.8,73.0,108.0,157.9,4500.0,93.7,3.62,7053.0
2240,31.0,26.0,63.8,73.0,108.0,157.3,4500.0,93.7,3.62,7603.0
2145,37.0,31.599999999999994,65.4,82.0,108.0,172.0,4800.0,97.2,3.62,7126.0
2190,33.0,28.0,65.4,82.0,108.0,172.0,4500.0,97.2,3.62,7775.0
2340,32.0,26.0,65.4,94.0,108.0,172.0,5200.0,97.2,3.62,9960.0
2385,25.0,24.0,65.4,82.0,108.0,172.0,4800.0,97.0,3.62,9233.0
2510,29.0,24.0,65.4,111.0,108.0,172.0,4800.0,97.0,3.62,11259.0
2290,32.0,28.0,65.4,82.0,108.0,173.5,4800.0,97.0,3.62,7463.0
2455,31.0,25.0,65.4,94.0,108.0,173.5,5200.0,97.0,3.62,10198.0
2420,29.0,23.0,65.4,82.0,108.0,173.6,4800.0,96.9,3.62,8013.0
2650,23.0,23.0,65.4,111.0,108.0,173.6,4800.0,96.9,3.62,11694.0
1985,38.0,31.599999999999994,63.8,68.0,92.0,158.7,4800.0,95.7,3.05,6657.0
2040,38.0,31.0,63.8,68.0,92.0,158.7,4800.0,95.7,3.05,6657.0
2015,38.0,31.0,63.8,68.0,92.0,158.7,4800.0,95.7,3.05,6657.0
2280,37.0,31.0,63.8,68.0,92.0,169.7,4800.0,95.7,3.05,6918.0
2290,32.0,27.0,63.8,68.0,92.0,169.7,4800.0,95.7,3.05,7898.0
3110,32.0,27.0,63.8,68.0,92.0,169.7,4800.0,95.7,3.05,8778.0
2081,37.0,30.0,64.4,70.0,98.0,166.3,4800.0,95.7,3.19,6938.0
2109,37.0,30.0,64.4,70.0,98.0,166.3,4800.0,95.7,3.19,7198.0
2275,36.0,31.599999999999994,64.4,68.0,110.0,166.3,4500.0,95.7,3.27,7898.0
2275,38.0,31.599999999999994,64.4,68.0,110.0,166.3,4500.0,95.7,3.27,7788.0
2094,38.0,31.599999999999994,64.4,70.0,98.0,166.3,4800.0,95.7,3.19,7738.0
2122,34.0,28.0,64.4,70.0,98.0,166.3,4800.0,95.7,3.19,8358.0
2140,34.0,28.0,64.4,70.0,98.0,166.3,4800.0,95.7,3.19,9258.0
2169,34.0,29.0,64.0,70.0,98.0,168.7,4800.0,94.5,3.19,8058.0
2204,34.0,29.0,64.0,70.0,98.0,168.7,4800.0,94.5,3.19,8238.0
2265,29.0,26.0,64.0,112.0,98.0,168.7,5780.0,94.5,3.24,9298.0
2300,29.0,26.0,64.0,112.0,98.0,168.7,5780.0,94.5,3.24,9538.0
2540,30.0,24.0,65.6,116.0,146.0,176.2,4800.0,98.4,3.62,8449.0
2536,30.0,24.0,65.6,116.0,146.0,176.2,4800.0,98.4,3.62,9639.0
2551,30.0,24.0,65.6,116.0,146.0,176.2,4800.0,98.4,3.62,9989.0
2679,30.0,24.0,65.6,116.0,146.0,176.2,4800.0,98.4,3.62,11199.0
2714,30.0,24.0,65.6,116.0,146.0,176.2,4800.0,98.4,3.62,11549.0
2975,30.0,24.0,65.6,116.0,146.0,176.2,4800.0,98.4,3.62,17669.0
2326,34.0,29.0,66.5,92.0,122.0,175.6,4500.0,102.4,3.31,8948.0
2480,33.0,30.0,66.5,73.0,110.0,175.6,4500.0,102.4,3.27,10698.0
2414,32.0,27.0,66.5,92.0,122.0,175.6,4500.0,102.4,3.31,9988.0
2414,32.0,27.0,66.5,92.0,122.0,175.6,4500.0,102.4,3.31,10898.0
2458,32.0,27.0,66.5,92.0,122.0,175.6,4500.0,102.4,3.31,11248.0
2976,24.0,20.0,67.7,160.0,171.0,183.5,5200.0,102.9,3.27,16558.0
3016,24.0,19.0,67.7,160.0,171.0,183.5,5200.0,102.9,3.27,15998.0
3131,24.0,20.0,66.5,156.0,171.0,187.8,5200.0,104.5,3.27,15690.0
3151,24.0,19.0,66.5,156.0,161.0,187.8,5200.0,104.5,3.27,15750.0
2261,38.0,31.599999999999994,65.5,68.0,97.0,171.7,4800.0,97.3,3.01,7775.0
2209,34.0,27.0,65.5,85.0,109.0,171.7,5250.0,97.3,3.19,7975.0
2264,38.0,31.599999999999994,65.5,68.0,97.0,171.7,4800.0,97.3,3.01,7995.0
2212,34.0,27.0,65.5,85.0,109.0,171.7,5250.0,97.3,3.19,8195.0
2275,34.0,27.0,65.5,85.0,109.0,171.7,5250.0,97.3,3.19,8495.0
2319,38.0,31.599999999999994,65.5,68.0,97.0,171.7,4500.0,97.3,3.01,9495.0
2300,32.0,26.0,65.5,100.0,109.0,171.7,5500.0,97.3,3.19,9995.0
2254,29.0,24.0,64.2,90.0,109.0,159.3,5500.0,94.5,3.19,11595.0
2221,29.0,24.0,64.0,90.0,109.0,165.7,5500.0,94.5,3.19,9980.0
2661,24.0,19.0,66.9,110.0,136.0,180.2,5500.0,100.4,3.19,13295.0
2579,38.0,31.599999999999994,66.9,68.0,97.0,180.2,4500.0,100.4,3.01,13845.0
2563,31.0,25.0,66.9,88.0,109.0,183.1,5500.0,100.4,3.19,12290.0
2912,28.0,23.0,67.2,114.0,141.0,188.8,5400.0,104.3,3.78,12940.0
3034,28.0,23.0,67.2,114.0,141.0,188.8,5400.0,104.3,3.78,13415.0
2935,28.0,24.0,67.2,114.0,141.0,188.8,5400.0,104.3,3.78,15985.0
3042,28.0,24.0,67.2,114.0,141.0,188.8,5400.0,104.3,3.78,16515.0
3045,23.0,17.0,67.2,160.0,130.0,188.8,5100.0,104.3,3.62,18420.0
3157,23.0,17.0,67.2,160.0,130.0,188.8,5100.0,104.3,3.62,18950.0
2952,28.0,23.0,68.64,114.0,141.0,188.8,5400.0,107.9,3.78,16845.0
3049,25.0,19.0,68.64,160.0,141.0,188.8,5300.0,107.9,3.78,19045.0
3012,23.0,18.0,68.64,134.0,173.0,188.8,5500.0,107.9,3.58,21485.0
3217,27.0,26.0,68.64,106.0,145.0,188.8,4800.0,107.9,3.01,22470.0
3062,25.0,19.0,68.64,114.0,141.0,188.8,5400.0,107.9,3.78,22563.0
