symboling,fueltype,aspiration,doornumber,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
1,1,0,0,0,93.7,157.3,63.8,50.6,1967,91.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,157.3,63.8,50.6,1989,91.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,157.3,63.8,50.6,1989,91.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,93.7,157.3,63.8,50.6,2191,98.0,3.03,3.39,8.0,102.0,5500.0,24.0,30.0,8558.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-1,1,0,0,0,103.3,174.6,64.6,59.8,2535,122.0,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1,1,0,95.9,173.2,66.3,50.2,2811,156.0,3.6,3.54,8.0,145.0,5000.0,19.0,24.0,12964.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,0,1,0,93.7,157.3,63.9,50.8,1713,92.0,2.91,3.41,9.6,68.0,4800.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,1,0,93.7,157.3,63.9,50.8,1819,92.0,2.91,3.41,9.2,76.0,5780.0,31.0,38.0,6855.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,64.0,52.6,1837,91.0,2.91,3.07,10.1,68.0,5500.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,64.0,52.6,1940,92.0,2.91,3.41,9.2,76.0,5780.0,30.0,34.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,64.0,52.6,1956,92.0,2.91,3.41,9.2,76.0,5780.0,30.0,34.0,7129.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,163.4,64.0,54.5,2010,92.0,2.91,3.41,9.2,76.0,5780.0,30.0,34.0,7295.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,157.3,63.9,58.3,2024,92.0,2.92,3.41,9.2,76.0,5780.0,30.0,34.0,7295.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,96.5,167.5,65.2,53.3,2236,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,7895.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,96.5,167.5,65.2,53.3,2289,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,9095.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,175.4,65.2,54.1,2304,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,8845.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,175.4,63.8,54.1,2372,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,10295.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,175.4,65.2,54.1,2465,110.0,3.15,3.54,9.0,101.0,5780.0,24.0,28.0,12945.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,96.5,169.1,66.0,51.0,2293,110.0,3.15,3.54,9.1,100.0,5500.0,25.0,31.0,10345.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,94.3,170.7,63.8,53.5,2337,111.0,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,94.5,157.3,63.8,52.0,1874,91.0,3.03,3.11,9.6,70.0,5400.0,31.599999999999994,38.0,8916.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,94.5,157.3,63.8,52.0,1909,91.0,3.03,3.11,9.6,70.0,5400.0,31.599999999999994,38.0,8916.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,1,0,96.0,172.6,65.2,51.4,2734,119.0,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,107.9,188.8,68.64,52.8,4066,181.0,3.63,3.54,8.1,160.0,4750.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,107.9,188.8,68.64,52.8,4066,181.0,3.63,3.54,8.1,160.0,4750.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,102.0,188.8,68.64,47.8,3950,181.0,3.54,2.882,10.939999999999992,160.0,5000.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1,0,1,0,93.7,159.1,64.2,54.1,1890,91.0,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,93.7,159.1,64.2,54.1,1900,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,93.7,159.1,64.2,54.1,1905,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,166.8,64.2,54.1,1945,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,166.8,64.2,54.1,1950,91.0,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2380,91.0,3.33,3.255,9.4,101.0,5780.0,17.0,23.0,10945.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2380,91.0,3.33,3.255,9.4,101.0,5780.0,17.0,23.0,11845.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2385,91.0,3.33,3.255,9.4,101.0,5780.0,17.0,23.0,13645.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2500,91.0,3.33,3.255,9.4,135.0,5780.0,17.0,23.0,15645.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0,98.8,177.8,66.5,53.7,2385,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,98.8,177.8,66.5,55.5,2410,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,98.8,177.8,66.5,53.7,2385,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,98.8,177.8,66.5,55.5,2410,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,98.8,177.8,66.5,55.5,2443,122.0,3.39,3.39,10.939999999999992,68.0,4650.0,31.599999999999994,38.0,10795.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,98.8,177.8,66.5,55.5,2425,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,104.9,175.0,66.1,54.4,2670,140.0,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,104.9,175.0,66.1,54.4,2700,134.0,3.43,3.54,10.939999999999992,72.0,4500.0,31.0,38.0,18344.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-1,0,1,0,0,107.9,188.8,68.64,56.5,3515,181.0,3.58,3.54,10.939999999999992,123.0,4500.0,22.0,25.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,0,1,0,0,107.9,188.8,68.64,58.7,3750,181.0,3.58,3.54,10.939999999999992,123.0,4500.0,22.0,25.0,22563.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0,106.7,187.5,68.64,54.9,3495,181.0,3.58,3.54,10.939999999999992,123.0,4500.0,22.0,25.0,22563.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,0,1,0,0,107.9,188.8,68.64,56.3,3770,181.0,3.58,3.54,10.939999999999992,123.0,4500.0,22.0,25.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,1,0,0,0,107.9,188.8,68.64,56.5,3740,181.0,3.46,3.1,8.3,155.0,4750.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,1,0,96.6,180.3,68.64,50.8,3685,181.0,3.46,3.1,8.3,155.0,4750.0,17.0,23.0,22563.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,107.9,188.8,68.64,56.7,3900,181.0,3.8,3.35,8.0,160.0,4500.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,107.9,188.8,68.64,55.4,3715,181.0,3.8,3.35,8.0,160.0,4500.0,17.0,23.0,22563.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,102.7,178.4,68.0,54.8,2910,140.0,3.78,3.12,8.0,160.0,5000.0,19.0,24.0,16503.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,1,0,93.7,157.3,64.4,50.8,1918,92.0,2.97,3.23,9.4,68.0,5500.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,1,0,93.7,157.3,64.4,50.8,1944,92.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,1,0,93.7,157.3,64.4,50.8,2004,92.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6669.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,93.7,157.3,63.8,50.8,2145,98.0,3.03,3.39,8.0,102.0,5500.0,24.0,30.0,7689.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,1,0,96.3,173.0,65.4,49.4,2370,110.0,3.17,3.46,8.0,116.0,5500.0,23.0,30.0,9959.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1,0,1,0,96.3,173.0,65.4,49.4,2328,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8499.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1,1,0,95.9,173.2,66.3,50.2,2833,156.0,3.58,3.54,8.0,145.0,5000.0,19.0,24.0,12629.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,1,0,95.9,173.2,66.3,50.2,2921,156.0,3.59,3.54,8.0,145.0,5000.0,19.0,24.0,14869.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,1,0,95.9,173.2,66.3,50.2,2926,156.0,3.59,3.54,8.0,145.0,5000.0,19.0,24.0,14489.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,96.3,172.4,65.4,51.6,2365,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,6989.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,96.3,172.4,65.4,51.6,2405,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8189.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,96.3,172.4,65.4,51.6,2403,110.0,3.17,3.46,8.0,116.0,5500.0,23.0,30.0,9279.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-1,1,0,0,0,96.3,172.4,65.4,51.6,2403,110.0,3.17,3.46,8.0,116.0,5500.0,23.0,30.0,9279.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,1,0,94.5,165.3,63.8,54.5,1889,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6657.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,94.5,165.3,63.8,54.5,2017,103.0,2.99,3.47,10.939999999999992,68.0,4800.0,31.599999999999994,38.0,7099.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,0,94.5,165.3,63.8,54.5,1918,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6657.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,94.5,165.3,63.8,54.5,1938,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6849.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,94.5,170.2,63.8,53.5,2024,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7349.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,94.5,165.3,63.8,54.5,1951,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7299.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,94.5,165.6,63.8,53.3,2028,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7799.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,94.5,165.3,63.8,54.5,1971,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7499.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,94.5,170.2,63.8,53.5,2037,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7999.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,1,0,95.1,162.4,63.8,53.3,2008,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,97.2,173.4,65.2,54.7,2324,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,97.2,173.4,65.2,54.7,2302,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,9549.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,100.4,181.7,66.5,55.1,3095,181.0,3.43,3.27,9.0,152.0,5200.0,17.0,23.0,13499.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,100.4,184.6,66.5,56.1,3296,181.0,3.43,3.27,9.0,152.0,5200.0,17.0,23.0,14399.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
